"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1516","Parameterised test to get current URL of : ""https://docs.junit.org/current/user-guide/""","","Wed Dec 03 20:39:09 UTC 2025","passed","Wed Dec 03 20:39:10 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getCurrentUrl"
"","362","Should be able to set virtual authenticator options","","Wed Dec 03 20:39:07 UTC 2025","passed","Wed Dec 03 20:39:07 UTC 2025","","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","com.cdTester.tests.selenium.web.interactions.VirtualAuthenticatorTest","testVirtualOptions"
"","2221","Should be able to get text from alert and accept it","","Wed Dec 03 20:39:00 UTC 2025","passed","Wed Dec 03 20:39:02 UTC 2025","","com.cdTester.tests.selenium.web.interactions.AlertsTest","com.cdTester.tests.selenium.web.interactions.AlertsTest","alertInformationTest"
"","1587","Get Table Cell value by Row and Column","","Wed Dec 03 20:39:12 UTC 2025","passed","Wed Dec 03 20:39:14 UTC 2025","","com.cdTester.tests.selenium.web.tables.TablesTest","com.cdTester.tests.selenium.web.tables.TablesTest","cellByRowColumn"
"","2008","Should be able to left click an element using Actions","","Wed Dec 03 20:38:54 UTC 2025","passed","Wed Dec 03 20:38:56 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.MouseTest","com.cdTester.tests.selenium.web.actions_api.MouseTest","clickLeft"
"","1539","Email input should be displayed","","Wed Dec 03 20:38:57 UTC 2025","passed","Wed Dec 03 20:38:58 UTC 2025","","com.cdTester.tests.selenium.web.elements.InformationTest","com.cdTester.tests.selenium.web.elements.InformationTest","isDisplayed"
"","994","Should be able to save page as PDF","","Wed Dec 03 20:39:10 UTC 2025","passed","Wed Dec 03 20:39:11 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SavingTest","com.cdTester.tests.selenium.web.interactions.SavingTest","prints"
"","1521","should be able to click on a checkbox","","Wed Dec 03 20:38:58 UTC 2025","passed","Wed Dec 03 20:39:00 UTC 2025","","com.cdTester.tests.selenium.web.elements.InteractionTest","com.cdTester.tests.selenium.web.elements.InteractionTest","clickCheckbox"
"","468","Should be able to get window handle","","Wed Dec 03 20:39:11 UTC 2025","passed","Wed Dec 03 20:39:12 UTC 2025","","com.cdTester.tests.selenium.web.interactions.WindowsTest","com.cdTester.tests.selenium.web.interactions.WindowsTest","windowsHandle"
"","1325","Should be able to select options from a single select list","","Wed Dec 03 20:39:06 UTC 2025","passed","Wed Dec 03 20:39:07 UTC 2025","","com.cdTester.tests.selenium.web.interactions.SelectListTest","com.cdTester.tests.selenium.web.interactions.SelectListTest","selectOption"
"","19513","Should be able to find box using implicit wait","","Wed Dec 03 20:38:33 UTC 2025","passed","Wed Dec 03 20:38:52 UTC 2025","","com.cdTester.tests.selenium.web.waits.WaitsTest","com.cdTester.tests.selenium.web.waits.WaitsTest","implicit"
"","634","Parameterised test to get current URL of : ""https://www.selenium.dev/""","","Wed Dec 03 20:39:08 UTC 2025","passed","Wed Dec 03 20:39:09 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getCurrentUrl"
"","716","Browser title should be 'Selenium'","","Wed Dec 03 20:39:07 UTC 2025","failed","Wed Dec 03 20:39:08 UTC 2025","","com.cdTester.tests.selenium.web.interactions.driverTest","com.cdTester.tests.selenium.web.interactions.driverTest","getTitle"
"","2751","Should switch to iFrame using id","","Wed Dec 03 20:39:02 UTC 2025","passed","Wed Dec 03 20:39:05 UTC 2025","","com.cdTester.tests.selenium.web.interactions.FramesTest","com.cdTester.tests.selenium.web.interactions.FramesTest","iframeWithId"
"","1830","Should be able to send keys to a focused element using Actions","","Wed Dec 03 20:38:52 UTC 2025","passed","Wed Dec 03 20:38:54 UTC 2025","","com.cdTester.tests.selenium.web.actions_api.KeysTest","com.cdTester.tests.selenium.web.actions_api.KeysTest","sendKeysFocused"
"","530","Username field should have placeholder text","","Wed Dec 03 20:38:56 UTC 2025","passed","Wed Dec 03 20:38:57 UTC 2025","","com.cdTester.tests.selenium.web.elements.LoginTest","com.cdTester.tests.selenium.web.elements.LoginTest","username"
"","617","Should be able to navigate to a URL using the driver.get() method","","Wed Dec 03 20:39:12 UTC 2025","passed","Wed Dec 03 20:39:12 UTC 2025","","com.cdTester.tests.selenium.web.interactions.NavigationTest","com.cdTester.tests.selenium.web.interactions.NavigationTest","navigateBrowserGet"
"","875","Should be able to print in landscape","","Wed Dec 03 20:39:05 UTC 2025","passed","Wed Dec 03 20:39:06 UTC 2025","","com.cdTester.tests.selenium.web.interactions.PrintTest","com.cdTester.tests.selenium.web.interactions.PrintTest","TestOrientation"
